"sample","S2","S3","S4","S5","S6","S7","S8","S10","S11","S12","S13","S14","S15","S16","S18","S19","S20","S21","S22","S23","S24","S26","S27","S28","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S40","S42","S43","S44","S45","S46","S47","S48","S50","S51","S52","S53","S54","S55","S56","S58","S59","S60","S61","S62","S63","S64","S66","S67","S68","S69","S70","S71","S72","S74","S75","S76","S77","S78","S79","S80","S82","S83","S84","S85","S86","S87","S88","S90","S91","S92","S93","S94","S95","S96","S98","S99","S100","S101","S102","S103","S104","S106","S107","S108","S109","S110","S111","S112","S114","S115","S116","S117","S118","S119","S120","S122","S123","S124","S125","S126","S127","S128","S130","S131","S132","S133","S134","S135","S136","S138","S139","S140","S141","S142","S143","S144","S146","S147","S148","S149","S150","S151","S152","S154","S155","S156","S157","S158","S159","S160","S162","S163","S164","S165","S166","S167","S168","S170","S171","S172","S173","S174","S175","S176","S178","S179","S180","S181","S182","S183","S184","S186","S187","S188","S189","S190","S191","S192","S194","S195","S196","S197","S198","S199","S200"
"M32"," 856.9461","1165.9763"," 854.5850","1293.5780","1255.3250"," 756.4915","1125.7622"," 867.0573"," 585.0722"," 796.5245"," 833.2654","1089.4149","1096.4783","1128.0430"," 966.1884","1022.7626","1317.6775"," 779.0220"," 925.9780","1057.1906"," 787.6283"," 890.2596","1137.8977","1034.1582","1065.3779"," 899.2818","1510.5465"," 936.3962"," 881.3726","1036.9349","1507.7298"," 813.4800"," 813.0027"," 743.1748"," 819.7357"," 965.4156"," 842.6365"," 811.8489"," 951.4324","1020.3426"," 692.4185","1099.0588"," 802.0697"," 963.4838","1300.2072","1091.3079","1160.2806","1183.8828"," 863.1204","1102.1018"," 883.2656","1159.9265"," 941.5212","1062.2947","1039.4231","1215.4912"," 860.1483"," 903.9248","1044.4153","1106.2033"," 940.6961","1431.9118","1046.3057"," 637.3242"," 996.4862","1000.0708","1200.0442","1202.4763","1097.5791"," 931.1614","1055.4584","1369.7340","1905.0228","1360.6476","1061.6929","1024.2778","1368.6445","1104.7481"," 767.3085","1026.7660"," 921.2315"," 959.7652"," 954.9608","1201.4423","1246.4762","1047.2169","1310.7590"," 914.6956"," 962.4221","1103.6941"," 951.6408"," 940.8738","1366.0284"," 971.8463"," 948.8076","1577.7949","1177.9356"," 949.6344","1159.4769","1073.4547","1069.9058","1114.9128","1078.0559"," 964.6431","1554.2001"," 839.0022","1043.8845"," 906.6738"," 791.9278"," 876.1799"," 954.1499","1203.7349","1184.9054"," 990.7010","1132.1276"," 924.4764"," 656.0912","1166.6301","1071.5143","1106.5515"," 877.5875"," 770.1181","1033.7364","1287.0293"," 836.1079","1063.6991"," 935.0424"," 829.3848","1162.4168"," 682.3875"," 917.5211"," 897.7882","1131.2618"," 741.3610","1078.4987","1188.3841","1111.4649","1084.7569"," 718.6846"," 789.0254","1117.5058","1443.1081","1391.1551"," 923.7457","1227.0981","1029.3883","1063.1396"," 968.4624"," 834.1284","1084.9743","1505.6792","1297.7434","1497.9256","1344.4288"," 928.0904"," 929.7436","1154.5158"," 749.8285","1559.2010","2006.0451","1262.8048"," 974.6593","1570.4824","1480.5594","1342.1219","1323.2677","1328.4357","1106.2042"," 929.0510","1224.0795"," 925.1581","1133.7486","1303.8873"," 909.9788","1079.4628"
"M33","1234.4010"," 850.7007","1006.8238","1037.5735"," 969.0968"," 867.9433"," 837.7500"," 967.8494"," 954.7716","1318.0226"," 925.7988","1387.3487","1000.4544","1389.6858"," 779.2408"," 854.0811"," 872.5837","1242.9534"," 715.4262"," 777.5879"," 837.5545"," 977.9437"," 807.8495"," 844.9479"," 796.0658"," 775.2312","1066.3162"," 905.8340"," 895.1828"," 883.8285","1110.5505","1262.6973"," 735.9089"," 937.5417"," 972.8996","1005.1964","1058.8336"," 893.5257"," 695.9553","1006.1954"," 753.7442"," 723.9776","1031.5796"," 479.0449"," 569.1889"," 462.3180"," 801.3533","1005.1403"," 888.5982"," 826.5221","1198.0995","1053.0590","1412.8891","1171.7978"," 867.1784","1085.7570","1337.8582","1104.9359","1306.9886","1761.7462","1178.9548","1333.2249","1594.3908","1712.6063","1259.3814","1238.0556","1160.8489","1637.4936","1612.2957","1725.3704","1056.1199","1404.2139","1294.8136","1621.3293","1055.9732","1201.7670","1054.4471","1487.5772"," 996.9562","1173.0891","1631.4209","1007.1180","1003.2421","1145.6022"," 789.9131"," 849.9497"," 714.2307","2449.6170","1054.3144","1091.8224"," 904.8842"," 729.6863","1160.5545","1049.8874"," 894.3849","1112.3713"," 897.5354"," 685.9409"," 873.5042"," 953.1834","1113.5282"," 865.7139","1387.3807","1032.0130","1534.4157","1058.9144"," 923.3910","1040.1271"," 943.6955"," 888.9535"," 715.7348","1122.9890"," 832.3883"," 934.1584"," 749.9539"," 855.9508"," 868.8619"," 823.8229","1262.9941"," 784.8035","1399.2028"," 796.8533"," 960.2954"," 845.8820"," 872.2208","1038.9170"," 837.9232"," 836.8900"," 920.7270"," 758.0655","1355.4007"," 586.6659"," 713.0276"," 760.1039","1208.2692"," 874.5791"," 812.1759"," 769.4335","1120.3806","1348.7800"," 758.9713","1219.6278"," 888.5088","1229.4481","1337.9678","1524.5146"," 865.1663","1132.4367","1140.4731","1336.9714"," 980.8117","1197.4550"," 996.0590","1181.6576"," 976.2325","1143.1045"," 882.7606","1120.5911","1345.6995","1059.0743"," 900.8243","1463.4931","1183.5884"," 891.2603"," 900.1452","1444.7581"," 968.8768","1045.5235","1340.5951"," 905.5534","1250.8959","1063.6557"," 779.8751"," 709.8071"," 941.4907"
"M34"," 899.4944"," 957.6873","1161.0584","1354.4344","1464.8720"," 813.2988","1360.5366"," 789.7610"," 968.9583","1545.4696"," 922.0179","1371.3176","1184.3780","1302.5282"," 850.5707","1578.1547"," 809.3443","1068.2083"," 858.9432"," 953.2464","1022.7229"," 672.9114","1128.8549","1052.1651","1258.5843","1138.1736","1154.0449","1308.7669","1098.9828","1001.0976","1503.4929","1085.4897","1389.0794","1086.8500"," 901.6836"," 787.5033"," 971.2818"," 941.3974"," 857.9041"," 565.5761"," 877.3877","1132.9512"," 821.8418"," 928.7544"," 707.2168","1018.7985"," 777.3145"," 851.9386"," 817.2608"," 801.6247","1025.8001","1033.0113"," 748.4306"," 913.2835"," 875.3979","1263.3028","1113.0729","1387.8152"," 989.6426"," 782.0294"," 791.1846"," 799.1487"," 855.1684","1037.2690","1105.9461","1033.1469","1027.7728","1060.9409","1921.3031","1750.9878","1453.6910","1521.6333"," 978.8669","1267.6838","1048.7190","1610.3378","1099.3983","1187.9714","1326.0754","1108.8676","1279.0037","1572.9528","1060.7565","1523.0121","1862.2248","1172.6015","1272.2285","1461.0312","1256.9283"," 773.0494","1184.9062"," 783.1616","1010.9555","1590.5904","1380.4159","1234.8199","1356.1861"," 841.9456","1420.8269","1029.2500","1009.1811","1082.2774"," 993.7924"," 936.1515","1178.8193"," 845.7599"," 833.9553"," 997.0222","1343.3132"," 856.5002","1084.6608","1113.3012"," 913.1162"," 906.3482"," 981.3043"," 794.3350"," 951.7007","1022.1477"," 790.1159"," 516.4560"," 990.8698"," 809.5621"," 655.3200"," 681.2793"," 779.1418"," 586.9190"," 602.6695"," 810.9769"," 817.7007"," 629.2868"," 805.1674"," 725.5896"," 946.4722"," 615.9847","1032.8899"," 898.4648"," 999.7418"," 854.2287"," 732.2789","1001.1997"," 809.3659","1040.5670","1118.5012"," 748.8746","1239.0049","1041.8671"," 913.9595"," 643.6548","1356.0625"," 786.4715","1075.6246","1172.3880","1127.3735","1116.9044","1221.5747","1490.4499"," 914.9247","1562.7596","1240.5842","1100.1220","1279.8136","1524.2443"," 996.0648"," 975.1121","1113.5627","1066.3980"," 953.7238"," 904.2634"," 701.5958"," 946.1752"," 769.2095","1381.9579"," 938.4790"," 781.8719","1142.1859"
"M35"," 445.4197","3287.2440","2160.5231","1178.6947"," 959.2416"," 415.2874"," 224.2875"," 273.2747","3084.5088","1660.9545"," 634.7455","1136.0938"," 413.1447","1410.3283","1034.1275","1668.4161"," 833.9615","1116.4712","1449.9871","1345.1592"," 293.4945","1140.4483","2171.0502"," 990.3666","3214.8385","1591.9212","5578.5884","1272.6209","1530.4704","1724.0473","1775.6216","1098.7349","2686.6897"," 689.9471","3176.3591","2002.4536","2929.2395","1414.3614"," 560.5291","1141.8588","1491.2047"," 321.4882"," 864.0400","1723.1104"," 436.7056"," 526.7742"," 352.6578"," 352.0820","1695.4295"," 822.6814","1542.5185","1109.1293","1902.0602"," 856.1489"," 444.9964","1127.0840"," 685.3115","1467.9525","1077.2905"," 388.6279","1629.8928","1021.8157"," 601.8476"," 911.1335","1394.2669","2028.6629"," 990.6721","1175.3286"," 925.6822","1536.0225"," 291.2660","1059.8153","1774.3460","4874.3700","2162.3534"," 266.7411","3030.1896","2460.5251","1240.8511"," 499.2572"," 818.9792"," 645.0385","1239.6904"," 739.8350"," 561.5934"," 892.8966"," 586.4793","5100.2706","1480.3051","1520.3334"," 976.2451","3020.8045"," 969.8186","4239.5909","1101.4231","2832.9773","1150.4074"," 895.8871","1123.2550","2097.0677","1420.7218","1489.1282"," 943.1150","3045.4178","2763.2959","2138.1583","1767.1779","1310.2259"," 278.6964","3090.8375"," 914.7168","1717.3860"," 687.0320"," 508.2670","4858.2823","2009.6679"," 553.2040"," 667.7602"," 751.3417","1927.5174","3367.3130","1672.5849"," 237.5876"," 585.2911"," 607.2961"," 814.5528"," 983.3913"," 929.5175","1059.8687","1155.2711","2616.7886"," 435.7948","1601.8834"," 701.4502"," 923.3712","1453.4452"," 354.9963"," 428.3818"," 926.5614"," 906.9916","1023.2992"," 692.0022","1142.0735"," 487.5614","1488.0534"," 925.0451","1228.2772"," 357.4008","1490.2860","1758.0633","1497.3511","5069.5909","2067.4564","1808.2546","3825.2129","1087.0763"," 510.9461"," 726.7566","1360.0624","3887.0478","2071.3991"," 672.3561","1213.4685","3167.1076"," 457.0728"," 399.1922","1902.6747"," 524.7092","1985.4795"," 531.0217","1206.2121"," 590.1433"," 459.2773"," 849.3590"," 786.3347"
"M36","1022.8329"," 630.9756"," 652.5943","1519.9804","1236.5266","1283.2448","1459.2925"," 746.1915"," 844.1296","1960.9474","1102.3424","1453.5014"," 685.6307"," 734.0017"," 527.5810"," 958.8893"," 641.6450","1346.7825"," 678.4945"," 705.1090","1217.0897","1672.5279","1049.2573","1969.6717","1272.8171","1788.4313","1245.0955","2338.3193","1483.0065"," 681.9500","1645.3072"," 737.7086","1402.3016"," 785.7491","1627.8443"," 519.9434"," 846.4022"," 725.7302"," 607.2174","1445.1388"," 544.1347"," 602.9660"," 818.5491"," 709.1385","1574.4440"," 923.1620","1460.0644","1295.2611","1275.0794","1512.2418"," 964.6634"," 585.3487","1780.9477","2209.0936"," 909.3748"," 630.0452"," 829.7734"," 747.5623","1432.1581"," 816.4918","1927.2134","1015.2998","1919.0106","1599.4568","1215.8824"," 827.0883"," 947.1630","2023.4967"," 753.4796","1553.9314","1081.0203"," 729.2544"," 897.9065","1898.8966","2390.6500","1958.8276","2215.5449","1930.1680"," 893.6723"," 518.0914","1138.4159","1100.1984"," 955.9658","1753.9970","1871.3055"," 884.1028"," 905.4386","1033.4138"," 639.5225"," 815.8183","1180.9495","1441.2192"," 826.9355"," 705.0585"," 665.4427"," 899.3226","1695.5491"," 561.5013"," 835.5644"," 813.9783","1511.7434"," 818.9861"," 820.2216"," 865.5412","1801.4788","1517.4252"," 735.0914","1220.5599","1275.9199"," 839.5175","1886.3316","1183.1344"," 746.8677","1624.1577"," 735.0799","1235.4855"," 583.9380"," 645.0999","1828.5642","1158.1899","1585.0402","1144.5432","1084.5848"," 733.9801","1371.8198","1612.5227","1581.9334"," 734.0380"," 943.8415","1619.1949","1183.1826"," 493.7331","1219.4422","1547.7565"," 632.5556"," 734.3622","2002.2158"," 851.3738","1036.0829"," 719.3819","1084.1602","1446.8363"," 755.4212"," 773.8038"," 708.5553","1369.7258","1166.6528"," 853.4300","1280.0943"," 582.8981","1770.6130"," 922.7116","1912.2319","2158.3309"," 781.8260"," 488.3213","1546.2908","1573.4945","1949.4549"," 717.8427","2033.8009"," 668.5704"," 651.0390"," 834.1687","1187.7330"," 778.2427","1470.3336","1346.1280","1513.0277"," 549.0971"," 624.1639","1789.9281"," 629.7657"," 772.4774"," 512.3668"
"M37","1036.6846"," 967.2301"," 792.9325","1039.0155","1057.9852","1439.4877"," 747.0356"," 934.3163","1078.8226"," 976.7088","1539.6610"," 881.6177","1448.8336","1069.5905"," 808.5734","1105.7073"," 905.1574"," 929.4354"," 832.5413","1057.0247","1069.9963"," 820.9064","1074.5145","1065.5249","1037.2188","1197.9020"," 757.8828","1070.5740","1285.0789"," 945.0446","1425.5193","1658.8744","1230.2993","1204.8556"," 986.2517","1633.1913","1260.6108","1339.6255"," 800.6109","1279.6074"," 813.4992","1075.4214"," 902.1418"," 466.5798"," 553.9717"," 734.5221"," 781.7216"," 777.1241"," 507.2620","1007.9213"," 629.7153"," 828.5690","1272.4070","1114.6955","1027.0401"," 941.3612","1082.3151","1034.7728","1004.0247","1046.5875","1160.2391"," 810.4648","1082.8907","1284.9036","1127.4068","1078.6815"," 936.3959"," 890.4599","1679.9524"," 906.0278","1616.6183","1193.7538","1718.6905","1512.6452","1120.9268","1247.0441"," 787.2028","1160.7828"," 760.6603"," 732.2765"," 929.2618"," 856.4987"," 803.0816","1147.2843","1142.3734"," 971.4836"," 999.8013"," 781.7081"," 932.6734"," 968.1523"," 793.1287"," 796.2037"," 967.6537"," 810.5332","1100.9720"," 741.1585","1303.1817"," 785.0082"," 930.1731"," 758.3482"," 997.1432","1042.0032"," 718.4885"," 727.7265","1131.8000","1074.7395"," 568.6962"," 867.7242"," 841.7389"," 955.2832"," 783.1594","1041.4614"," 778.1263"," 903.2446","1129.3302"," 807.0446","1031.0711"," 934.6130"," 966.4615"," 788.8220","1898.3432"," 680.5968"," 682.7554","1146.3379"," 762.4939"," 954.9470","1256.2861","1145.9577"," 982.6542","1277.1396","2122.9454"," 602.5086"," 920.2785"," 816.2501"," 750.0046"," 943.1341","1118.7176"," 860.0745"," 648.6860","1034.9825"," 830.4995"," 688.9049","1023.8203","1266.8923"," 816.0352","1204.2147","1221.1893"," 934.0345","1123.9832","1064.2126"," 984.3630","1142.3806","1250.2587","1028.2617"," 981.4605","1058.4004"," 848.0543","1004.4072","1171.7023","1093.4523"," 819.0547","1055.8896","1535.8730"," 787.7268","1148.4790","1226.8071"," 606.6632"," 884.1114"," 655.1893"," 692.1553"," 610.1578"," 688.1395"," 419.4715"," 417.6045"," 365.1094"
"M38","1018.7854"," 899.7595"," 668.6887"," 969.1243"," 872.8722"," 598.5654","1047.0869"," 817.9816"," 783.8187"," 868.7355"," 797.8445"," 987.3728","1160.5798"," 679.1225"," 696.7139"," 593.0261"," 711.8595"," 832.6098"," 680.9367"," 854.3943","1005.7336"," 949.8754"," 730.0515"," 875.0305","1127.7602"," 892.5459","1317.3286"," 949.6292"," 964.3569"," 884.8306","1019.6543","1136.6771","1051.2215","1072.0433","1287.3752"," 937.1609"," 775.4727","1119.9296","1473.6583"," 740.0178"," 612.6312"," 866.4825"," 994.1567"," 470.6817"," 675.8040"," 873.4737"," 901.8189"," 795.8688"," 757.7246"," 684.1148","1193.5917"," 953.2637","1124.4223"," 938.8039","1186.7715","1433.4074","1190.9652"," 932.0440"," 960.1971","1069.4227","1490.6597","1542.5608","1370.3736","1345.3596","1400.5387","1265.3974","1160.5568","1389.8545","1653.1627","1265.7173","1343.6199","1463.2795","1349.4601","1269.0962","1097.2207","1196.9732","1404.9310","1549.5048","1233.6471","1139.8436","1159.4793"," 993.0927","1021.0426","1249.8051","1345.0631","1001.8821"," 844.6934"," 634.4681"," 742.8565"," 880.4678"," 930.5422"," 836.9277"," 903.5071"," 947.3776","1027.2369"," 997.3070","1177.0183"," 675.3692"," 929.1715"," 711.6720","1141.8705","1052.3692"," 871.1712"," 813.4372"," 876.0429"," 747.2782","1137.4107"," 737.8204"," 590.2685","1256.2173","1197.5471","1459.6713"," 909.3401"," 937.2042","1356.7002"," 794.0779","1545.1830"," 955.9571","1038.8235","1034.7295","1044.3128"," 846.4129","1056.4760"," 789.4119"," 743.7259"," 641.0068"," 766.0959"," 812.8488"," 702.7029"," 794.9283","1246.2182"," 872.9371","1003.5182","1096.9038","1111.2524"," 918.2523","1206.4481"," 752.6159","1322.3064","1334.9205"," 983.2827","1037.8396"," 893.5549","1101.2201","1313.4153","1009.1027","1030.4182"," 926.9880","1516.5742"," 835.5205"," 942.6973","1308.3690","1071.7558","1106.0950","1382.5105"," 895.9820"," 936.5951","1196.6566","1020.4515","1036.9275","1003.6163","1070.2301","1351.0035","1488.2260","1187.7498"," 754.9776","1087.9513"," 973.8147","1074.0087","1004.6613","1077.4091","1125.3084"," 863.2894"," 905.4760"," 861.6108"
"M39"," 839.2162","1468.7921"," 875.4347","1121.4580"," 805.7064","1052.6947","1008.6909"," 904.4657","1122.6448","1275.3071","1078.0395","1026.5967","1275.6337","1016.7454"," 730.7986","1263.0449","1364.2235","1123.0916"," 677.7406"," 816.4561"," 918.1957"," 795.7183","1237.4142","1373.3934"," 964.9242"," 814.9625","1313.2228"," 842.0134","1144.5233","1282.5672","1185.3977"," 862.4043"," 925.0701"," 981.4690"," 995.2500"," 896.2203","1066.8486"," 972.5375"," 941.7960"," 776.3503"," 695.7798"," 939.4681"," 782.5530","1564.5335","1448.7842","1392.7297","1090.8494"," 908.4730"," 698.8705"," 879.2119","1155.8721"," 697.6268","1245.0663","1084.6874"," 925.9266","1259.5725","1154.0044"," 965.0584","1469.6933"," 957.2781","1002.9327"," 882.3457","1343.1643","1312.7468","1100.6714"," 872.7438","1137.8883","1055.4142","1292.3844","1017.6987"," 865.3394"," 883.9752"," 982.6083","1528.1009"," 756.0171","1215.9913","1404.0481"," 573.1409"," 824.6296","1071.7219"," 934.2935"," 876.4038","1049.9001","1243.2492","1450.8013","1098.6977","1027.2119"," 208.6858"," 364.1954"," 302.8964"," 354.9283"," 742.1084"," 639.7874"," 566.9644"," 559.6497"," 601.9632"," 992.4079"," 860.8474","1135.1602"," 692.6903","1257.4150"," 923.3819","1008.5990","1046.8657","1095.4768"," 833.2534"," 914.8214"," 840.9101"," 696.7090"," 789.6898"," 929.9536"," 727.2112"," 769.7002","1166.1033"," 981.7949","1007.8684"," 609.5024"," 721.3745","1026.3301"," 921.5972"," 762.4876"," 826.3567"," 601.7420"," 606.1224"," 575.6501"," 522.7951"," 348.0615"," 335.1609"," 517.8270"," 366.2952"," 230.2778","1376.1642","1724.1658","1098.8622"," 978.3058","1613.9996","1288.8075"," 975.0101","1195.2146","1184.7959"," 725.8390"," 958.3918"," 745.9981","1171.9328","1110.2212"," 799.3446","1030.9345"," 990.1560"," 946.2490"," 777.4774"," 724.2208","1646.6861"," 771.2788"," 878.9060","1069.7796"," 805.0774"," 883.9794","1384.9849","1038.6801"," 868.2345"," 985.6994","1195.0084","1423.5074"," 646.7335"," 994.1521","1328.1006"," 844.3414","1047.4558"," 942.0520","1056.1589"," 818.9703","1048.5027"," 942.7856","1557.0303","1412.8084"
"M40"," 896.6801","1676.3118","1017.4920","1008.2226"," 951.9636","1971.5165","1029.4834","1452.6516","1076.1525","1347.7209","1153.1507"," 998.3811","1233.4448","1350.3877"," 632.6109","1177.3280","1230.3053"," 999.4238","1083.3982","1468.6508","1102.0499","1305.6062","1040.8832","1076.4423","1272.2273","1061.6093","1269.6814","1266.7026","1116.5757","1134.6146","1281.0204"," 988.9444"," 889.8910","1114.1297","1118.8245","1251.6757"," 989.4050","1046.1284"," 865.5741","1266.5808"," 632.7479","1285.9377","1092.0741","1683.8671","1216.5121","1308.4268"," 833.8907","1086.7173"," 882.4787","1233.0297","1508.8376","1770.5162","1643.7565"," 770.9914","1074.1147","1074.3747"," 968.0177","1254.7451","1295.6677","1852.6443","1419.0304","1208.7053","1669.3492","1344.4164","1266.5818","1522.5755","1473.9541","1059.3180","1452.7760","2296.8769","1177.5146","1234.9654","1377.9220","1962.7024","1304.8910","1503.8587","1551.0975","1196.7534","1087.5939","1057.0455","1019.9666"," 782.2304"," 737.0379","1103.9977","1052.3066"," 657.0446"," 866.5539"," 723.9006"," 707.9416","1032.9713"," 619.5693"," 828.6791"," 672.6535"," 970.4239"," 984.6252"," 798.1684"," 633.6778","1139.9217"," 799.5204"," 778.9792","1069.3709","1152.3607"," 750.8311","1009.5989","1077.1395"," 627.0867"," 784.2295"," 815.3114"," 680.4888"," 957.0355"," 861.2828"," 990.5715","1576.5476","1349.2000"," 983.6439"," 905.0770"," 763.2612","1179.4930","1362.7883","1182.7433","1413.5873"," 908.2518"," 843.8790"," 836.0461","1061.4385"," 961.1223","1030.5899"," 994.6410"," 801.9316","1104.1065","1576.0975"," 777.0923","1217.3853","1328.1892"," 842.4945","1240.3190","1149.3240"," 791.0507"," 611.1314","1096.3420"," 937.1688"," 960.3589","1269.3297","1379.8249","1201.2980","1024.9151","1497.8032"," 761.2465","1165.5138","1089.3208","1353.7923","1086.6139","1321.1119","1054.1577","1140.4623"," 706.2934","1223.6953","1066.3181","1290.4094"," 720.2845","1092.3230","1297.6374","1122.9021","1249.2824","1431.8510","1272.2199"," 932.2394"," 908.4838","1265.9094","1291.9973"," 825.8025","1208.7608","1037.4682"," 984.8590"," 689.3790"
"M41"," 397.6435","2109.1751","2640.4923","1218.8431"," 725.7017"," 581.0617"," 196.8162"," 465.6304","3182.0480","1522.6254"," 615.1773","1226.8005"," 312.6086","1244.2017"," 793.6020","1584.9272"," 861.7877","1693.0378","1348.1628","1179.0675"," 399.9390","1108.4402","2475.5521","1464.4492","2504.5310","1257.1379","3528.3400","1583.3796","1697.2228","2149.6917","2524.3539","1340.3032","2120.5908"," 924.7840","2937.4677","1807.4578","2492.0047","1498.3334"," 728.1257","1485.9192","1174.2236"," 252.7479"," 620.7257","2080.9149"," 465.1849"," 529.4790"," 726.3779"," 250.7432","1514.4753"," 959.6837","1098.2945"," 954.9788","1818.4300"," 748.8979"," 429.0546","1178.5989"," 839.4114","1291.7260","1227.5884"," 416.5039","1616.8242"," 975.7096"," 707.0147"," 703.6909","1376.3809","1429.9047","1310.0280","1021.0777","1648.9655","1864.2689"," 379.9451","1528.0754","1547.5336","7659.7161","2204.7937"," 300.9432","2993.5367","4191.7650","1590.8104"," 510.5727"," 832.6077"," 977.1214","1965.5526"," 976.4291"," 601.3398"," 858.0070"," 629.4073","3129.6705"," 696.1356"," 789.1779"," 961.9432","2193.0808"," 429.0278","3341.6044"," 719.1794","2829.2801"," 663.0357"," 684.1842"," 731.9406","1080.8638","1021.5859","1393.1039"," 906.7402","2742.3412","2171.1701","1459.3076","1361.6844","1414.9051"," 250.2611","2511.2800"," 864.9828","1667.2256"," 481.6844"," 343.5190","3961.2386","1579.3272"," 382.3578"," 942.3642"," 545.1149","1571.3037","3149.5707","1230.9864"," 269.9824"," 429.0397"," 578.9596"," 558.1129"," 957.9773","1013.0998","1408.0523","1667.7003","1987.7973"," 507.1174","1314.6201"," 787.1613"," 834.6687","1342.9274"," 507.9018"," 456.1434"," 941.2167"," 924.5813"," 913.2773"," 735.2955","1303.0829"," 346.7426","1488.0895"," 499.8365"," 714.0536"," 522.8004","1343.5048","1430.4269","1054.3871","2937.6784","1825.8590","1254.7280","4873.6413"," 746.2860"," 530.1374"," 594.1229"," 583.9826","3383.7463","2182.9472"," 550.4068","1175.9487","3673.7449"," 754.2524"," 320.3916","1377.9022"," 437.1168","1960.3871"," 380.0039"," 903.5516"," 524.0766"," 306.4471"," 579.6641"," 402.4643"
"M42"," 751.5546"," 927.9724","1028.1386","1000.9779"," 958.1850"," 866.8450","1453.9148"," 900.8451","1276.7072"," 805.7562"," 892.5396","1225.2290","1131.9992","1140.0583"," 960.1510","1315.6921"," 803.6847","1141.6632","1071.8570"," 858.3218"," 981.3373","1218.1579","1096.8545"," 901.3518","1362.4248"," 899.5782","1169.3761"," 832.8443","1463.0781"," 942.0751","1396.1595","1357.6475"," 897.0474"," 990.7400"," 950.3975","1067.1336","1433.4568","1058.7383","1189.3813","1212.8121"," 831.8252"," 656.2972"," 574.7357","1173.7531","1094.8513","1278.7395"," 971.2074"," 719.5459","1217.7567"," 865.8521"," 838.2946"," 957.8738","1355.5947","1264.8103"," 971.8776"," 832.1714","1554.7657"," 831.0239"," 809.2253","1055.1274","1151.2161"," 932.5864","1203.6899","1422.9538","1413.6649","1364.7294","1064.9874","1177.4857","1150.9441","1136.2779"," 722.5999","1519.0176","1210.0590","1321.3204","1031.6107","1138.3188","2211.0901","1203.4669","1342.1046"," 882.5339"," 979.4996","1048.1370","1009.7539","1200.3701","1438.7003","1084.1939","1201.6923"," 497.4299"," 906.7480"," 709.2686"," 579.1501","1359.6299"," 783.8559","1234.0868","1166.0530","1251.5065"," 980.2140","1193.5104"," 957.9778","1323.7346"," 980.0425","1073.2907","1174.7335","1247.0006"," 984.8427"," 800.7320"," 935.7391","1654.3547"," 991.9065","1081.2277","1088.3006","1118.1235","1414.4790","1467.0285","1643.9979","1161.7539"," 875.1513"," 975.7687"," 994.4354","1420.4633"," 940.0078","1260.7922"," 905.3780"," 886.9876","1199.4085","1012.0003","1475.5664","1149.5912","1006.4180","1038.3289","1771.4650"," 668.0529"," 885.6815"," 949.8426","1245.5495"," 605.2189","1021.3245"," 624.9860"," 710.0751"," 936.6427"," 724.5269"," 764.6111","1095.4061","1009.4655","1147.9448"," 972.2054","1258.8641"," 949.0309","1541.2225"," 955.8626"," 956.7991","1219.6911"," 979.5578","1207.3380","1397.0674","1080.8849"," 941.1310","1048.8304","1003.8640","1047.6405","1259.1533","1263.2150"," 933.8585","1182.0056","1087.6718","1129.1959"," 968.3571"," 728.1616"," 739.2891"," 748.3437","1092.4625","1058.7435"," 605.8214"," 437.9548"," 439.9842"
